DIRECTORIO,SECUENCIA_P,ORDEN,REGIS,P6230,P6240,P6240S1,P6250,P6260,P6270,P6280,P6290,P6290S1,P6300,P6310,P6310S1,P6320,P6330,P6340,P6350,P6351,CLASE,DPTO,fex_c_2011
646490,1,6,50,3,1,,,,,,,,,,,,,,,,2,25,353.873.965.020.441
646490,1,7,50,3,1,,,,,,,,,,,,,,,,2,25,353.873.965.020.441
646490,1,8,50,3,1,,,,,,,,,,,,,,,,2,25,353.873.965.020.441
646491,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,462.252.109.052.967
646491,1,2,50,2,4,,2,2,2,2,,,2,,,,,,,,2,25,462.252.109.052.967
646491,1,3,50,2,3,,2,2,2,2,,,2,,,,,,,,2,25,462.252.109.052.967
646492,1,1,50,2,1,,,,,,,,,,,,,,,,2,25,460.946.003.943.797
646492,1,2,50,2,4,,2,2,2,2,,,2,,,,,,,,2,25,460.946.003.943.797
646492,1,3,50,2,3,,2,2,2,2,,,2,,,,,,,,2,25,460.946.003.943.797
646492,1,4,50,2,3,,2,2,2,2,,,2,,,,,,,,2,25,460.946.003.943.797
646493,1,1,50,1,4,,2,2,2,2,,,2,,,,,,,,2,25,186.157.607.264.699
646493,1,2,50,2,4,,2,2,2,2,,,2,,,,,,,,2,25,186.157.607.264.699
646493,1,3,50,2,1,,,,,,,,,,,,,,,,2,25,186.157.607.264.699
646494,1,1,50,2,1,,,,,,,,,,,,,,,,2,25,227.185.369.878.622
646494,1,2,50,2,4,,2,2,2,2,,,2,,,,,,,,2,25,227.185.369.878.622
646494,1,5,50,2,4,,2,2,2,2,,,2,,,,,,,,2,25,227.185.369.878.622
646495,1,1,50,1,4,,2,2,2,2,,,2,,,,,,,,2,25,453.020.736.499.358
646496,1,1,50,1,6,VIVE DE LA PENSION,2,2,2,2,,,2,,,,,,,,2,25,186.157.607.264.699
646496,1,2,50,2,1,,,,,,,,,,,,,,,,2,25,186.157.607.264.699
646496,1,3,50,2,4,,2,2,2,2,,,2,,,,,,,,2,25,186.157.607.264.699
646497,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,610.265.479.741.554
646497,1,2,50,2,4,,2,2,2,2,,,2,,,,,,,,2,25,610.265.479.741.554
646498,1,1,50,5,1,,,,,,,,,,,,,,,,2,25,189.457.571.424.536
646498,1,2,50,5,4,,2,2,2,2,,,2,,,,,,,,2,25,189.457.571.424.536
646498,1,3,50,5,1,,,,,,,,,,,,,,,,2,25,189.457.571.424.536
646498,1,4,50,5,1,,,,,,,,,,,,,,,,2,25,189.457.571.424.536
646498,1,5,50,5,1,,,,,,,,,,,,,,,,2,25,189.457.571.424.536
646499,1,1,50,4,4,,2,2,2,2,,,2,,,,,,,,2,25,298.282.758.394.975
646499,1,2,50,4,4,,2,2,2,2,,,2,,,,,,,,2,25,298.282.758.394.975
646499,1,3,50,3,4,,2,2,2,2,,,2,,,,,,,,2,25,298.282.758.394.975
646499,1,4,50,4,1,,,,,,,,,,,,,,,,2,25,298.282.758.394.975
646499,1,5,50,4,4,,2,2,2,2,,,2,,,,,,,,2,25,298.282.758.394.975
646499,1,7,50,3,1,,,,,,,,,,,,,,,,2,25,298.282.758.394.975
646499,1,8,50,8,2,,2,2,2,1,1,,,,,,,,,1,2,25,298.282.758.394.975
646500,1,1,50,2,1,,,,,,,,,,,,,,,,2,25,217.188.711.319.392
646500,1,2,50,2,4,,2,2,2,2,,,2,,,,,,,,2,25,217.188.711.319.392
646500,1,3,50,2,4,,2,2,2,2,,,2,,,,,,,,2,25,217.188.711.319.392
646501,1,1,50,1,6,ARREGLAR LA CASA,2,2,2,2,,,1,2,,1,1,,1,2,2,25,186.157.607.264.699
646501,1,2,50,2,4,,2,2,2,2,,,2,,,,,,,,2,25,186.157.607.264.699
646501,1,3,50,3,4,,2,2,2,2,,,2,,,,,,,,2,25,186.157.607.264.699
646501,1,5,50,2,1,,,,,,,,,,,,,,,,2,25,186.157.607.264.699
649713,1,1,50,1,1,,,,,,,,,,,,,,,,2,50,321.576.907.421.191
649713,1,2,50,2,4,,2,2,2,2,,,1,2,,2,,2,,,2,50,321.576.907.421.191
649713,1,3,50,3,6,CITAS  MEDICAS,2,2,2,1,1,,,,,,,,,1,2,50,321.576.907.421.191
649720,1,1,50,1,4,,2,2,2,2,,,2,,,,,,,,2,50,610.920.135.356.238
649720,1,2,50,2,4,,2,2,2,2,,,1,9,,,,,,,2,50,610.920.135.356.238
649720,1,3,50,1,1,,,,,,,,,,,,,,,,2,50,610.920.135.356.238
649724,1,1,50,1,6,RECUPERANDOSE  DE  LA  OPERACION QUE  LE  HICIERON  EN   LA  EPS,2,2,2,2,,,1,11,,,,,,,2,50,375.733.702.254.934
649725,1,1,50,1,1,,,,,,,,,,,,,,,,2,50,348.655.304.838.062
649725,1,2,50,2,4,,2,2,2,2,,,2,,,,,,,,2,50,348.655.304.838.062
649732,1,1,50,1,1,,,,,,,,,,,,,,,,2,50,543.256.033.764.165
649732,1,2,50,2,1,,,,,,,,,,,,,,,,2,50,543.256.033.764.165
649732,1,3,50,3,3,,2,2,2,2,,,2,,,,,,,,2,50,543.256.033.764.165
649738,1,1,50,1,1,,,,,,,,,,,,,,,,2,50,563.304.547.057.271
649738,1,2,50,2,1,,,,,,,,,,,,,,,,2,50,563.304.547.057.271
649738,1,3,50,3,4,,2,2,2,2,,,1,2,,2,,2,,,2,50,563.304.547.057.271
649738,1,4,50,4,3,,2,2,2,2,,,2,,,,,,,,2,50,563.304.547.057.271
649741,1,1,50,1,1,,,,,,,,,,,,,,,,2,50,609.050.199.351.695
