DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P6290;P6290S1;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;MES;FT;DPTO;fex_c_2011;AREA
4048909;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1123,38435846754;05
4048910;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1088,43262670001;05
4048911;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1102,68537652929;05
4048911;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1102,68537652929;05
4048912;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1237,72865555146;05
4048912;1;2;1;50;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;1237,72865555146;05
4048913;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1170,15301666916;05
4048913;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1170,15301666916;05
4048913;1;3;1;50;1; ; ;3;3; ;2;2;2;2;1;12; ; ; ; ; ; ;05;1;05;1170,15301666916;05
4048914;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1088,43262670001;05
4048915;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1170,20701604037;05
4048915;1;2;1;50;1; ; ;2;4; ;2;2;2;2;1;6; ;1;2; ; ; ;05;1;05;1170,20701604037;05
4048916;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1258,85091582043;05
4048917;1;1;1;50;1;1; ;1;3; ;2;2;2;1; ; ; ; ; ; ; ;1;05;1;05;1081,40756116692;05
4048918;1;1;1;50;1;2; ;1;6;SALIR DONDE UNA HERMANA;2;2;2;1; ; ; ; ; ; ; ;1;05;1;05;946,03304940557;05
4048918;1;2;1;50;1;2; ;2;3; ;2;2;2;1; ; ; ; ; ; ; ;2;05;1;05;946,03304940557;05
4048918;1;3;1;50;1;2; ;3;3; ;2;2;2;1; ; ; ; ; ; ; ;2;05;1;05;946,03304940557;05
4048919;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;838,090495190069;05
4048919;1;2;1;50;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;838,090495190069;05
4048920;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1123,38435846754;05
4048921;1;1;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1170,20701604037;05
4048921;1;2;1;50;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;1170,20701604037;05
4048922;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1258,85091582043;05
4048923;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1047,8161150107;05
4048923;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1047,8161150107;05
4048923;1;3;1;50;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1047,8161150107;05
4048923;1;4;1;50;1; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;1047,8161150107;05
4048923;1;5;1;50;1;2; ;5;2; ;2;2;2;1; ; ; ; ; ; ; ;1;05;1;05;1047,8161150107;05
4048923;1;6;1;50;1; ; ;6;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1047,8161150107;05
4048924;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1123,38435846754;05
4048925;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1258,85091582043;05
4048926;1;1;1;50;1;2; ;1;3; ;2;2;2;1; ; ; ; ; ; ; ;1;05;1;05;1088,43262670001;05
4048927;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1088,43262670001;05
4048928;1;1;1;50;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;786,180215768276;05
4048928;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;786,180215768276;05
4048928;1;3;1;50;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;786,180215768276;05
4048930;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1123,38435846754;05
4048931;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1137,72915388836;05
4048931;1;2;1;50;1; ; ;2;3; ;2;2;2;2;1;2; ;1;1; ;2;1;05;1;05;1137,72915388836;05
4048931;1;3;1;50;1;2; ;2;6;CUIDAR UNA FINCA DE LOS BOY ESCAU SIN PAGO;2;2;2;1; ; ; ; ; ; ; ;1;05;1;05;1137,72915388836;05
4048931;1;4;1;50;1;2; ;4;6;CAMINAR;2;2;2;1; ; ; ; ; ; ; ;1;05;1;05;1137,72915388836;05
4048932;1;1;1;50;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;1238,15193388217;05
4048932;1;2;1;50;1; ; ;2;6;CUIDANDO A UN EMFERMO;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;1238,15193388217;05
4048933;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1081,40756116692;05
4048934;1;1;1;50;1;2; ;1;3; ;2;2;2;1; ; ; ; ; ; ; ;1;05;1;05;1081,40756116692;05
4048935;1;1;1;50;1;1; ;1;6;PREDICANDO EL EVANGELIO;2;2;2;1; ; ; ; ; ; ; ;1;05;1;05;1015,73389417755;05
4048935;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1015,73389417755;05
4048937;1;1;1;50;1; ; ;1;3; ;2;2;2;2;1;12; ; ; ; ; ; ;05;1;05;973,611051914168;05
