Directorio;Secuencia_p;Orden;Area;Regis;P6230;P6240;P6240s1;P6250;P6260;P6270;P6280;P6290;P6290s1;P6300;P6310;P6310s1;P6320;P6330;P6340;P6350;P6351;Dpto;Fex_c_2011
216318;2;2;05;50;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1169,19035848432
216318;2;3;05;50;3;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;1169,19035848432
216318;2;4;05;50;4;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;1169,19035848432
216318;2;5;05;50;5;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;1169,19035848432
216318;2;6;05;50;6;6;CUIDAR LA HIJA DE 3 AÑOS;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;1169,19035848432
216318;2;7;05;50;6;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1169,19035848432
216319;2;1;05;50;1;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;1469,86684414018
216319;2;2;05;50;2;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;1469,86684414018
216321;2;1;05;50;1;4; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ;05;1202,28803546225
216321;2;2;05;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1202,28803546225
216322;2;1;05;50;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1679,71935196995
216322;2;2;05;50;3;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;1679,71935196995
